company,title,location,google_maps_link,remote_option,salary_min,salary_max,posted_date,department,department_head,department_head_email,transit_routes,transit_duration,transit_changes,bike_duration,nearest_metro,commute_rating,top_skills,url
Alo Yoga,Staff Data Engineer,"Beverly Hills, California","https://www.google.com/maps/dir/?api=1&origin=3800+Mentone+Ave,+Culver+City,+CA+90232&destination=9830+Wilshire+Blvd,+Beverly+Hills,+California+90212",Onsite,160000,200000,2024-11-04,engineering team,,,Bus 3,38 mins,0,26 mins,Venice / Bagley,⭐⭐⭐ Excellent,"AWS, DBT, PYTHON, SQL, SPARK, KAFKA",https://www.builtinla.com/job/senior-data-engineer/2276480
Screenverse,Data Engineer,", ",,Remote,125000,165000,2025-11-10,engineering team,,,,,0,,,Remote - N/A,SQL,https://www.builtinla.com/job/data-engineer/7656346
EDO,Data Engineer,"Los Angeles, California","https://www.google.com/maps/dir/?api=1&origin=3800+Mentone+Ave,+Culver+City,+CA+90232&destination=Los+Angeles,+California",Hybrid,130000,190000,2025-10-24,Data Engineering,,,Bus 33 → Metro E Line → Metro Metro D Line,54 mins,2,1 hour 11 mins,Venice / Bagley,⭐ Acceptable,"AWS, SNOWFLAKE, DBT, AIRFLOW, PYTHON, SQL",https://www.builtinla.com/job/data-engineer/2448178
CertifID,Staff Data Engineer,", ",,Onsite,,,2025-11-04,Data Engineering,,,,,0,,,Remote - N/A,"SNOWFLAKE, BIGQUERY, DBT, AIRFLOW, PYTHON, SQL, SPARK, KAFKA",https://www.builtinla.com/job/staff-data-engineer/6707579
SentinelOne,Senior AI Data Engineer,", ",,Onsite,147200,234600,2025-11-07,Data Engineering,,,,,0,,,Remote - N/A,"AIRFLOW, PYTHON, KUBERNETES",https://www.builtinla.com/job/senior-ai-data-engineer/4715267
ChowNow,Senior Data Engineer,", ",,Onsite,158000,205000,2025-10-30,data team,,,,,0,,,Remote - N/A,"AWS, SNOWFLAKE, DBT, PYTHON, SQL",https://www.builtinla.com/job/senior-data-engineer/7519843
Re:Build Manufacturing,Data Engineer,"Los Angeles, California","https://www.google.com/maps/dir/?api=1&origin=3800+Mentone+Ave,+Culver+City,+CA+90232&destination=Los+Angeles,+California",Hybrid,,,2025-10-24,Data Engineering,,,Bus 33 → Metro E Line → Metro Metro D Line,54 mins,2,1 hour 11 mins,Venice / Bagley,⭐ Acceptable,"AWS, SNOWFLAKE, PYTHON, SQL, SPARK",https://www.builtinla.com/job/data-engineer/7480927
Circle,Data Engineer II / Senior Data Engineer,", ",,Onsite,147500,195000,2025-11-06,Engineering team,,,,,0,,,Remote - N/A,"AWS, GCP, SNOWFLAKE, BIGQUERY, DBT, AIRFLOW, PYTHON, SQL",https://www.builtinla.com/job/data-engineer-ii-senior-data-engineer/7372403
FourKites,AI Engineer II/ Sr AI Engineer I,", ",,Onsite,,,2025-11-04,Data Engineering,,,,,0,,,Remote - N/A,PYTHON,https://www.builtinla.com/job/ai-engineer-ii-sr-ai-engineer-i/7591771
Metropolis Technologies,"Machine Learning Engineer, Computer Vision","Los Angeles, California","https://www.google.com/maps/dir/?api=1&origin=3800+Mentone+Ave,+Culver+City,+CA+90232&destination=Los+Angeles,+California",Onsite,150000,180000,2025-11-04,Data Engineering,,,Bus 33 → Metro E Line → Metro Metro D Line,54 mins,2,1 hour 11 mins,Venice / Bagley,⭐ Acceptable,"AWS, AIRFLOW, PYTHON, SQL, SPARK, KAFKA",https://www.builtinla.com/job/machine-learning-engineer-computer-vision/7597082
General Motors,Senior Machine Learning Engineer,", ",,Hybrid,134000,205000,2025-11-04,Data Engineering,,,,,0,,,Remote - N/A,PYTHON,https://www.builtinla.com/job/senior-machine-learning-engineer/7590375
Capsule (capsule.video),AI Engineer,"Los Angeles, California","https://www.google.com/maps/dir/?api=1&origin=3800+Mentone+Ave,+Culver+City,+CA+90232&destination=Los+Angeles,+California",Onsite,,,2025-11-01,engineering team,,,Bus 33 → Metro E Line → Metro Metro D Line,54 mins,2,1 hour 11 mins,Venice / Bagley,⭐ Acceptable,PYTHON,https://www.builtinla.com/job/ai-engineer/7107575
Snap Inc.,"Machine Learning Engineer, Generative AI","Los Angeles, California","https://www.google.com/maps/dir/?api=1&origin=3800+Mentone+Ave,+Culver+City,+CA+90232&destination=Los+Angeles,+California",Onsite,100000,176000,2025-05-18,Data Engineering,,,Bus 33 → Metro E Line → Metro Metro D Line,54 mins,2,1 hour 11 mins,Venice / Bagley,⭐ Acceptable,PYTHON,https://www.builtinla.com/job/machine-learning-engineer-generative-ai/4252347
