company,location,address,contact_name,contact_title,contact_email,email_pattern,linkedin_url,transit_duration,transit_routes,transit_changes,commute_rating,google_maps_link,career_url
Snap Inc.,"Santa Monica, CA","2772 Donald Douglas Loop N, Santa Monica, CA 90405",Not found,Not found,Check LinkedIn manually,Unknown,https://www.linkedin.com/search/results/people/?keywords=Snap Inc.%20data%20engineering,34 mins,Bus 3 → Bus 8,1,⭐⭐⭐ Excellent,"https://www.google.com/maps/dir/?api=1&origin=3800+Mentone+Ave,+Culver+City,+CA+90232&destination=2772+Donald+Douglas+Loop+N,+Santa+Monica,+CA+90405",https://snap.com/en-US/jobs
Google,"Playa Vista, CA","12777 W Jefferson Blvd, Los Angeles, CA 90066",Not found,Not found,Check LinkedIn manually,Unknown,https://www.linkedin.com/search/results/people/?keywords=Google%20data%20engineering,56 mins,Bus 3 → Bus 14,1,⭐ Acceptable,"https://www.google.com/maps/dir/?api=1&origin=3800+Mentone+Ave,+Culver+City,+CA+90232&destination=12777+W+Jefferson+Blvd,+Los+Angeles,+CA+90066",https://careers.google.com
Meta,"Playa Vista, CA","5400 Beethoven St, Los Angeles, CA 90066",Not found,Not found,Check LinkedIn manually,Unknown,https://www.linkedin.com/search/results/people/?keywords=Meta%20data%20engineering,57 mins,Bus 3 → Bus 110,1,⭐ Acceptable,"https://www.google.com/maps/dir/?api=1&origin=3800+Mentone+Ave,+Culver+City,+CA+90232&destination=5400+Beethoven+St,+Los+Angeles,+CA+90066",https://www.metacareers.com
Hulu,"Santa Monica, CA","2500 Broadway, Santa Monica, CA 90404",Not found,Not found,Check LinkedIn manually,Unknown,https://www.linkedin.com/search/results/people/?keywords=Hulu%20data%20engineering,45 mins,Bus 33,0,⭐⭐ Good,"https://www.google.com/maps/dir/?api=1&origin=3800+Mentone+Ave,+Culver+City,+CA+90232&destination=2500+Broadway,+Santa+Monica,+CA+90404",https://www.hulu.com/jobs
Amazon,"Santa Monica, CA","1620 26th St, Santa Monica, CA 90404",Not found,Not found,Check LinkedIn manually,Unknown,https://www.linkedin.com/search/results/people/?keywords=Amazon%20data%20engineering,38 mins,Bus 33,0,⭐⭐⭐ Excellent,"https://www.google.com/maps/dir/?api=1&origin=3800+Mentone+Ave,+Culver+City,+CA+90232&destination=1620+26th+St,+Santa+Monica,+CA+90404",https://amazon.jobs
TikTok,"Culver City, CA","5800 Bristol Pkwy, Culver City, CA 90230",Not found,Not found,Check LinkedIn manually,Unknown,https://www.linkedin.com/search/results/people/?keywords=TikTok%20data%20engineering,29 mins,Bus 3,0,⭐⭐⭐ Excellent,"https://www.google.com/maps/dir/?api=1&origin=3800+Mentone+Ave,+Culver+City,+CA+90232&destination=5800+Bristol+Pkwy,+Culver+City,+CA+90230",https://careers.tiktok.com
Riot Games,"West LA, CA","12333 W Olympic Blvd, Los Angeles, CA 90064",Not found,Not found,Check LinkedIn manually,Unknown,https://www.linkedin.com/search/results/people/?keywords=Riot Games%20data%20engineering,38 mins,Bus 33,0,⭐⭐⭐ Excellent,"https://www.google.com/maps/dir/?api=1&origin=3800+Mentone+Ave,+Culver+City,+CA+90232&destination=12333+W+Olympic+Blvd,+Los+Angeles,+CA+90064",https://www.riotgames.com/en/work-with-us
Blizzard Entertainment,"Santa Monica, CA","1322 2nd St, Santa Monica, CA 90401",Not found,Not found,Check LinkedIn manually,Unknown,https://www.linkedin.com/search/results/people/?keywords=Blizzard Entertainment%20data%20engineering,45 mins,Bus 33,0,⭐⭐ Good,"https://www.google.com/maps/dir/?api=1&origin=3800+Mentone+Ave,+Culver+City,+CA+90232&destination=1322+2nd+St,+Santa+Monica,+CA+90401",https://careers.blizzard.com
Electronic Arts,"Playa Vista, CA","12790 W Jefferson Blvd, Los Angeles, CA 90066",Not found,Not found,Check LinkedIn manually,Unknown,https://www.linkedin.com/search/results/people/?keywords=Electronic Arts%20data%20engineering,53 mins,Bus 3 → Bus 110,1,⭐ Acceptable,"https://www.google.com/maps/dir/?api=1&origin=3800+Mentone+Ave,+Culver+City,+CA+90232&destination=12790+W+Jefferson+Blvd,+Los+Angeles,+CA+90066",https://www.ea.com/careers
Disney Streaming,"Santa Monica, CA","2500 Broadway, Santa Monica, CA 90404",Not found,Not found,Check LinkedIn manually,Unknown,https://www.linkedin.com/search/results/people/?keywords=Disney Streaming%20data%20engineering,46 mins,Bus 33,0,⭐⭐ Good,"https://www.google.com/maps/dir/?api=1&origin=3800+Mentone+Ave,+Culver+City,+CA+90232&destination=2500+Broadway,+Santa+Monica,+CA+90404",https://jobs.disneycareers.com
